name,link,rating,enroll,instructor,time,levelrequirement,skillrequirement,SkillWillLearn,SkillGain,Subject,organization,fee,program,RelationInsOrg,Subtitle
Introduction to Clinical Data,https://www.coursera.org/learn/introduction-clinical-data,4.6,"7,448","Nigam Shah,Steven Bagley,David Magnus",12 hours,Beginner,,How to apply a framework for medical data mining. Ethical use of data in healthcare decisions. How to make use of data that may be inaccurate in systematic ways. What makes a good research question and how to construct a data mining workflow answer it,,Data Science,Stanford University,Enroll for Free,AI in Healthcare Specialization,"Nigam Shah work for Stanford University,Steven Bagley work for Stanford University,David Magnus work for Stanford University","Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
"Intro to Analytic Thinking, Data Science, and Data Mining",https://www.coursera.org/learn/intro-analyticthinking-datascience-datamining,4,"3,112","Dursun Delen,Julie Pai",7 hours,Intermediate,,The knowledge and skills needed to work in the data science profession. How data science is used to solve business problems. The benefits of using the cross-industry standard process for data mining (CRISP-DM),Environmental Data Analysis          Data Documentation          Geophysical Data          Data Mining      ,Data Science,"University of California, Irvine",Enroll for Free,Data Science Fundamentals Specialization,"Dursun Delen work for University of California, Irvine,Julie Pai work for University of California, Irvine","English, Indonesian"
Introduction to Accounting Data Analytics and Visualization,https://www.coursera.org/learn/intro-accounting-data-analytics-visual,4.8,"18,899",Ronald Guymon,19 hours,Beginner,,"Accounting has always been about analytical thinking. From the earliest days of the profession, Luca Pacioli emphasized the importance of math and order for analyzing business transactions. The skillset that accountants have needed to perform math and to keep order has evolved from pencil and paper, to typewriters and calculators, then to spreadsheets and accounting software. A new skillset that is becoming more important for nearly every aspect of business is that of big data analytics: analyzing large amounts of data to find actionable insights. This course is designed to help accounting students develop an analytical mindset and prepare them to use data analytic programming languages like Python and R. We’ve divided the course into three main sections. In the first section, we bridge accountancy to analytics. We identify how tasks in the five major subdomains of accounting (i.e., financial, managerial, audit, tax, and systems) have historically required an analytical mindset, and we then explore how those tasks can be. completed more effectively and efficiently by using big data analytics. We then present a FACT framework for guiding big data analytics: Frame a question, Assemble data, Calculate the data, and Tell others about the results. In the second section of the course, we emphasize the importance of assembling data. Using financial statement data, we explain desirable characteristics of both data and datasets that will lead to effective calculations and visualizations. In the third, and largest section of the course, we demonstrate and explore how Excel and Tableau can be used to analyze big data. We describe visual perception principles and then apply those principles to create effective visualizations. We then examine fundamental data analytic tools, such as regression, linear programming (using Excel Solver), and clustering in the context of point of sale data and loan data. We conclude by demonstrating the power of data analytic programming languages to assemble, visualize, and analyze data. We introduce Visual Basic for Applications. as an example of a programming language, and the Visual Basic Editor as an example of an integrated development environment (IDE).",Data Analysis          Predictive Analytics          Data Visualization (DataViz)          Data Architecture          coding      ,Data Science,University of Illinois at Urbana-Champaign,Enroll for Free,Accounting Data Analytics Specialization,Ronald Guymon work for University of Illinois at Urbana-Champaign,"Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
Innovating with Data and Google Cloud,https://www.coursera.org/learn/innovating-with-data-google-cloud,4.8,"5,245",Google Cloud Training,2 hours,Beginner,,Describe the role of data in digital transformation and the importance of a data-driven culture. Identify common Google Cloud solutions for data management. Identify common Google Cloud solution for smart analytics. Identify Google Cloud’s solutions for Machine Learning and AI,,Information Technology,Google Cloud,Enroll for Free,,Google Cloud Training work for Google Cloud,Subtitles: English
Information Security: Context and Introduction,https://www.coursera.org/learn/information-security-data,4.7,"64,840","Professor Peter Komisarczuk,Professor Keith M. Martin,Dr Jorge Blasco Alis",24 hours,Beginner,,"In this course you will explore information security through some introductory material and gain an appreciation of the scope and context around the subject. This includes a brief introduction to cryptography, security management and network and computer security that allows you to begin the journey into the study of information security and develop your appreciation of some key information security concepts. The course concludes with a discussion around a simple model of the information security industry and explores skills, knowledge and roles so that you can determine and analyse potential career opportunities in this developing profession and consider how you may need to develop personally to attain your career goals. After completing the course you will have gained an awareness of key information security principles regarding information, confidentiality, integrity and availability. You will be able to explain some of the key aspects of information risk and security management, in addition, summarise some of the key aspects in computer and network security, including some appreciation of threats, attacks, exploits and vulnerabilities. You will also gain an awareness of some of the skills, knowledge and roles/careers opportunities within the information security industry.",Cybersecurity          Cryptography          Information Security (INFOSEC)          Security Management      ,Computer Science,"University of London,Royal Holloway, University of London",Enroll for Free,,"Professor Peter Komisarczuk work for University of London,Professor Keith M. Martin work for University of London,Dr Jorge Blasco Alis work for University of London","Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
IBM Data Topology,https://www.coursera.org/learn/ibm-data-topology,4.8,,"Mike Hervey,Paul Christensen",6 hours,Intermediate,,"Every business and organization is facing new challenges with their data. Pressures related to regulation and compliance, leveraging AI, spanning multicloud environments, and increasing volumes of inaccessible data are forcing executives and administrators to either modernize their infrastructures or become obsolete. But moving to the latest technology in a monolithic architecture is a tempting solution that can be expensive and cause more problems than it solves. In this course, you learn how to meet the needs of all your data consumers through the construction of a modern logical topology that helps you optimize data flow.",Data Science          Dataflow          Strategic Planning          Artificial Intelligence (AI)          Digital Strategy      ,Information Technology,IBM,Enroll for Free,,"Mike Hervey work for IBM,Paul Christensen work for IBM",English
IBM Data Privacy for Information Architecture,https://www.coursera.org/learn/ibm-data-privacy,4.7,,"Christopher Giardina,Aaron Ritchie",10 hours,,,"Data privacy controls how information is collected, used, shared, and disposed of, in accordance with policies or external laws and regulations. In this course, students will gain an understanding of what data privacy is along with how to identify and understand typical data protection and privatization objectives that an enterprise may have, and how to choose a data protection approach. The student will gain a background in multiple data privacy mechanisms and practices, and learn how to grow their data protection toolkit. The IBM DataFirst method will be the backbone of the discussion.",Information Privacy          IBM datafirst method      ,Information Technology,IBM,Enroll for Free,,"Christopher Giardina work for IBM,Aaron Ritchie work for IBM","English, Arabic"
IBM Data Analyst Capstone Project,https://www.coursera.org/learn/ibm-data-analyst-capstone-project,4.6,"10,946","Ramesh Sannareddy,Rav Ahuja",15 hours,Intermediate,It is highly recommend that you have completed all of the courses in the IBM Data Analyst Professional Certificate prior to starting this course.,"In this course you will apply various Data Analytics skills and techniques that you have learned as part of the previous courses in the IBM Data Analyst Professional Certificate. You will assume the role of an Associate Data Analyst who has recently joined the organization and be presented with a business challenge that requires data analysis to be performed on real-world datasets.  You will undertake the tasks of collecting data from multiple sources, performing exploratory data analysis, data wrangling and preparation, statistical analysis and mining the data, creating charts and plots to visualize data, and building an interactive dashboard. The project will culminate with a presentation of your data analysis report, with an executive summary for the various stakeholders in the organization. You will be assessed on both your work for the various stages in the Data Analysis process, as well as the final deliverable. This project is a great opportunity to showcase your Data Analytics skills, and demonstrate your proficiency to potential employers.",Microsoft Excel          Data Analysis          SQL and RDBMS          Data Visualization (DataViz)          Dashboard      ,Data Science,IBM,Enroll for Free,IBM Data Analyst Professional Certificate,"Ramesh Sannareddy work for IBM,Rav Ahuja work for Coursera, IBM",English
Exploratory Data Analysis for Machine Learning,https://www.coursera.org/learn/ibm-exploratory-data-analysis-for-machine-learning,4.6,"23,135","Mark J Grover,Miguel Maldonado",8 hours,Intermediate,,"This first course in the IBM Machine Learning Professional Certificate introduces you to Machine Learning and the content of the professional certificate. In this course you will realize the importance of good, quality data. You will learn common techniques to retrieve your data, clean it, apply feature engineering, and have it ready for preliminary analysis and hypothesis testing. By the end of this course you should be able to:Retrieve data from multiple data sources: SQL, NoSQL databases, APIs, Cloud Describe and use common feature selection and feature engineering techniquesHandle categorical and ordinal features, as well as missing valuesUse a variety of techniques for detecting and dealing with outliersArticulate why feature scaling is important and use a variety of scaling techniques Who should take this course?This course targets aspiring data scientists interested in acquiring hands-on experience  with Machine Learning and Artificial Intelligence in a business setting. What skills should you have?To make the most out of this course, you should have familiarity with programming on a Python development environment, as well as fundamental understanding of Calculus, Linear Algebra, Probability, and Statistics.",Artificial Intelligence (AI)          Machine Learning          Feature Engineering          Statistical Hypothesis Testing          Exploratory Data Analysis      ,Data Science,IBM,Enroll for Free,,"Mark J Grover work for IBM,Miguel Maldonado work for IBM","Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
AI Workflow: Data Analysis and Hypothesis Testing,https://www.coursera.org/learn/ibm-ai-workflow-data-analysis-hypothesis-testing,4.2,"2,800","Mark J Grover,Ray Lopez, Ph.D.",11 hours,Advanced,,"This is the second course in the IBM AI Enterprise Workflow Certification specialization.  You are STRONGLY encouraged to complete these courses in order as they are not individual independent courses, but part of a workflow where each course builds on the previous ones.  . In this course you will begin your work for a hypothetical streaming media company by doing exploratory data analysis (EDA).  Best practices for data visualization, handling missing data, and hypothesis testing will be introduced to you as part of your work.  You will learn techniques of estimation with probability distributions and extending these estimates to apply null hypothesis significance tests. You will apply what you learn through two hands on case studies: data visualization and multiple testing using a simple pipeline. By the end of this course you should be able to:1.  List several best practices concerning EDA and data visualization2.  Create a simple dashboard in Watson Studio3.  Describe strategies for dealing with missing data4.  Explain the difference between imputation and multiple imputation5.  Employ common distributions to answer questions about event probabilities6.  Explain the investigative role of hypothesis testing in EDA7.  Apply several methods for dealing with multiple testing Who should take this course?This course targets existing data science practitioners that have expertise building machine learning models, who want to deepen their skills on building and deploying AI in large enterprises. If you are an aspiring Data Scientist, this course is NOT for you as you need real world expertise to benefit from the content of these courses.What skills should you have?It is assumed that you have completed Course 1 of the IBM AI Enterprise Workflow specialization and have a solid understanding of the following topics prior to starting this course: Fundamental understanding of Linear Algebra; Understand sampling, probability theory, and probability distributions; Knowledge of descriptive and inferential statistical concepts; General understanding of machine learning techniques and best practices; Practiced understanding of Python and the packages commonly used in data science: NumPy, Pandas, matplotlib, scikit-learn; Familiarity with IBM Watson Studio; Familiarity with the design thinking process.",Data Science          Information Engineering          Artificial Intelligence (AI)          Machine Learning          Python Programming      ,Data Science,IBM,Enroll for Free,IBM AI Enterprise Workflow Specialization,"Mark J Grover work for IBM,Ray Lopez, Ph.D. work for IBM",English
AI Workflow: Business Priorities and Data Ingestion,https://www.coursera.org/learn/ibm-ai-workflow-business-priorities-data-ingestion,4.3,"4,410","Mark J Grover,Ray Lopez, Ph.D.",8 hours,Intermediate,,"This is the first course of a six part specialization.  You are STRONGLY encouraged to complete these courses in order as they are not individual independent courses, but part of a workflow where each course builds on the previous ones. This first course in the IBM AI Enterprise Workflow Certification specialization introduces you to the scope of the specialization and prerequisites.  Specifically, the courses in this specialization are meant for practicing data scientists who are knowledgeable about probability, statistics, linear algebra, and Python tooling for data science and machine learning.  A hypothetical streaming media company will be introduced as your new client.  You will be introduced to the concept of design thinking, IBMs framework for organizing large enterprise AI projects.  You will also be introduced to the basics of scientific thinking, because the quality that distinguishes a seasoned data scientist from a beginner is creative, scientific thinking.  Finally you will start your work for the hypothetical media company by understanding the data they have, and by building a data ingestion pipeline using Python and Jupyter notebooks. By the end of this course you should be able to:1.  Know the advantages of carrying out data science using a structured process2.  Describe how the stages of design thinking correspond to the AI enterprise workflow3.  Discuss several strategies used to prioritize business opportunities4.  Explain where data science and data engineering have the most overlap in the AI workflow5.  Explain the purpose of testing in data ingestion 6.  Describe the use case for sparse matrices as a target destination for data ingestion 7.  Know the initial steps that can be taken towards automation of data ingestion pipelines Who should take this course?This course targets existing data science practitioners that have expertise building machine learning models, who want to deepen their skills on building and deploying AI in large enterprises. If you are an aspiring Data Scientist, this course is NOT for you as you need real world expertise to benefit from the content of these courses. What skills should you have?It is assumed you have a solid understanding of the following topics prior to starting this course: Fundamental understanding of Linear Algebra; Understand sampling, probability theory, and probability distributions; Knowledge of descriptive and inferential statistical concepts; General understanding of machine learning techniques and best practices; Practiced understanding of Python and the packages commonly used in data science: NumPy, Pandas, matplotlib, scikit-learn; Familiarity with IBM Watson Studio; Familiarity with the design thinking process.",Data Science          Information Engineering          Artificial Intelligence (AI)          Machine Learning          Python Programming      ,Data Science,IBM,Enroll for Free,IBM AI Enterprise Workflow Specialization,"Mark J Grover work for IBM,Ray Lopez, Ph.D. work for IBM",English
Healthcare Data Quality and Governance,https://www.coursera.org/learn/healthcare-data-quality-governance,4.5,"4,824",Doug Berman,12 hours,Intermediate,,"Career prospects are bright for those qualified to work with healthcare data or as Health Information Management (HIM) professionals. Perhaps you work in data analytics but are considering a move into healthcare, or you work in healthcare but are considering a transition into a new role. In either case, Healthcare Data Quality and Governance will provide insight into how valuable data assets are protected to maintain data quality. This serves care providers, patients, doctors, clinicians, and those who carry out the business of improving health outcomes.  ""Big Data"" makes headlines, but that data must be managed to maintain quality. High-quality data is one of the most valuable assets gathered and used by any business. This holds greater significance in healthcare where the maintenance and governance of data quality directly impact people’s lives. This course will explain how data quality is improved and maintained. You’ll learn why data quality matters, then see how healthcare professionals monitor, manage and improve data quality. You’ll see how human and computerized systems interact to sustain data quality through data governance. You’ll discover how to measure data quality with metadata, tracking data provenance, validating and verifying data, along with a communication framework commonly used in healthcare settings. This knowledge matters because high-quality data will be transformed into valuable insights that can save lives, reduce costs, to improve healthcare and make it more accessible and affordable. You will make yourself more of an asset in the healthcare field by what you gain from this course.",,Health,"University of California, Davis",Enroll for Free,Health Information Literacy for Data Analytics Specialization,"Doug Berman work for University of California, Davis","Subtitles: French, Portuguese (European), Russian, English, Spanish"
Healthcare Data Literacy,https://www.coursera.org/learn/healthcare-data-literacy,4.5,"9,950",Brian Paciotti,13 hours,Intermediate,,"This course will help lay the foundation of your healthcare data journey and provide you with knowledge and skills necessary to work in the healthcare industry as a data scientist. Healthcare is unique because it is associated with continually evolving and complex processes associated with health management and medical care. We'll learn about the many facets to consider in healthcare and determine the value and growing need for data analysts in healthcare. We'll learn about the Triple Aim and other data-enabled healthcare drivers. We'll cover different concepts and categories of healthcare data and describe how ontologies and related terms such as taxonomy and terminology organize concepts and facilitate computation. We'll discuss the common clinical representations of data in healthcare systems, including ICD-10, SNOMED, LOINC, drug vocabularies (e.g., RxNorm), and clinical data standards. We’ll discuss the various types of healthcare data and assess the complexity that occurs as you work with pulling in all the different types of data to aid in decisions. We will analyze various types and sources of healthcare data, including clinical, operational claims, and patient generated data as well as differentiate unstructured, semi-structured and structured data within health data contexts. We'll examine the inner workings of data and conceptual harmony. offer some solutions to the data integration problem by defining some important concepts, methods, and applications that are important to this domain.",,Health,"University of California, Davis",Enroll for Free,Health Information Literacy for Data Analytics Specialization,"Brian Paciotti work for University of California, Davis","Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
Using clinical health data for better healthcare,https://www.coursera.org/learn/healthcare-data,4.7,"6,107",Tim Shaw,15 hours,Beginner,,"Digital health is rapidly being realised as the future of healthcare. While this is placing emphasis on the input of quality health data in digital records and systems, the delivery of safe and quality healthcare relies not only on the input of data, but also the ability to access and derive meaning from data to generate evidence, inform decision making and drive better health outcomes. This course provides insight into the use of healthcare data, including an overview of best practices and the practical realities of obtaining useful information from digital health systems via the understanding of the fundamental concepts of health data analytics. Learners will understand why data quality is essential in modern healthcare, as they are guided through various stages of the data life cycle, starting with the generation of quality health data, through to discovering patterns and extracting knowledge from health data using common methodologies and tools in the basic analysis, visualisation and communication of health data. In doing so, learners explore current healthcare delivery contexts, and future and emerging digital health data systems and applications that are rapidly becoming tomorrow’s reality.On completion of this course, you will be able to:1.	Identify digital health technologies, health data sources, and the evolving roles of health workforce in digital health environments2.	Understand key health data concepts and terminology, including the significance of data integrity and stakeholder roles in the data life cycle3.	Use health data and basic data analysis to inform and improve decision making and practice.4.	Apply effective methods of communication of health data to facilitate safe and quality care.During this course, you will interact with learning content contributed by:•	Digital Health Cooperative Research Centre•	Australian Digital Health Agency•	eHealth NSW•	Sydney Local Health District•	The NSW Ministry of Health•	Health Education and Training Institute•	Clinical Excellence Commission •	Chris O’Brien Lifehouse•	Monash Partners / Australian Health Research Alliance•	Australian Research Data Commons•	Justice Health &amp; Forensic Mental Health Network•	South Eastern Sydney Local Health District•	Western Sydney Local Health District•	Westmead Breast Cancer Institute•	Agency for Clinical Innovation•	Western NSW Local Health District•	Sydney Children’s Hospital NetworkThis course is a collaborative venture between NSW Health, the University of Sydney and the Digital Health Cooperative Research Centre, including dedicated resources from eHealth NSW, Health Education and Training Institute, and the Research in Implementation Science &amp; eHealth group. While many learning resources and case examples are drawn from the NSW Health service context, this course has relevance for all existing and future health workforce, regardless of role or work context.Note: Materials used are for learning purposes and content may not reflect your organisation’s policies. When working with data, make sure you act within the guidelines and policies of your organisation.",,Health,The University of Sydney,Enroll for Free,,Tim Shaw work for The University of Sydney,"Subtitles: French, Portuguese (European), Russian, English, Spanish"
Healthcare Data Models,https://www.coursera.org/learn/healthcare-data-models,4.5,"4,155",Doug Berman,12 hours,Intermediate,,"Career prospects are bright for those qualified to work in healthcare data analytics. Perhaps you work in data analytics, but are considering a move into healthcare where your work can improve people’s quality of life. If so, this course gives you a glimpse into why this work matters, what you’d be doing in this role, and what takes place on the Path to Value where data is gathered from patients at the point of care, moves into data warehouses to be prepared for analysis, then moves along the data pipeline to be transformed into valuable insights that can save lives, reduce costs, to improve healthcare and make it more accessible and affordable. Perhaps you work in healthcare but are considering a transition into a new role. If so, this course will help you see if this career path is one you want to pursue. You’ll get an overview of common data models and their uses. You’ll learn how various systems integrate data, how to ensure clear communication, measure and improve data quality. Data analytics in healthcare serves doctors, clinicians, patients, care providers, and those who carry out the business of improving health outcomes. This course of study will give you a clear picture of data analysis in today’s fast-changing healthcare field and the opportunities it holds for you.",,Health,"University of California, Davis",Enroll for Free,Health Information Literacy for Data Analytics Specialization,"Doug Berman work for University of California, Davis","Subtitles: French, Portuguese (European), Russian, English, Spanish"
Google Data Analytics Capstone: Complete a Case Study,https://www.coursera.org/learn/google-data-analytics-capstone,4.8,"56,382",Google Career Certificates,8 hours,Beginner,No prior experience with spreadsheets or data analytics is required. All you need is high-school level math and a curiosity about how things work.,"Differentiate between a capstone, case study, and a portfolio. Identify the key features and attributes of a completed case study. Apply the practices and procedures associated with the data analysis process to a given set of data. Discuss the use of case studies/portfolios when communicating with recruiters and potential employers",Job portfolio          Data Cleansing          Data Analysis          Data Visualization (DataViz)          case study      ,Data Science,Google,Enroll for Free,Google Data Analytics Professional Certificate,Google Career Certificates work for Google,English
GIS Data Acquisition and Map Design,https://www.coursera.org/learn/gis-data-acquisition-map-design,4.9,"18,752",Don Boyes,20 hours,Beginner,,"In this course, you will learn how to find GIS data for your own projects, and how to create a well-designed map that effectively communicates your message. The first section focuses on the basic building blocks of GIS data, so that you know what types of GIS files exist, and the implications of choosing one type over another. Next, we'll discuss metadata (which is information about a data set) so you know how to evaluate a data set before you decide to use it, as well as preparing data by merging and clipping files as needed. We'll then talk about how to take non-GIS data, such as a list of addresses, and convert it into ""mappable"" data using geocoding. Finally, you'll learn about how to take data that you have found and design a map using cartographic principles. In the course project, you will find your own data and create your own quantitative map. Note: software is not provided for this course.",Geographic Information System (GIS)          Cartography          Esri          Mapping          Spatial Analysis      ,Physical Science and Engineering,University of Toronto,Enroll for Free,"GIS, Mapping, and Spatial Analysis Specialization",Don Boyes work for University of Toronto,"Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
"GIS Data Formats, Design and Quality",https://www.coursera.org/learn/gis-data,4.9,"33,082",Nick Santos,28 hours,Intermediate,"At least 2 years experience, comfortable doing data analysis, and fundamental grasp of GIS concepts.",Design data tables and use separating and joining data in a relational database. Write query strings to subset data. Create and work with raster data. Create web maps,Spatial Analysis          Analytics          Workflow          Data Management      ,Physical Science and Engineering,"University of California, Davis",Enroll for Free,Geographic Information Systems  (GIS) Specialization,"Nick Santos work for University of California, Davis","Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
Getting Started with Data Warehousing and BI Analytics,https://www.coursera.org/learn/getting-started-with-data-warehousing-and-bi-analytics,,,"Ramesh Sannareddy,Rav Ahuja",12 hours,Beginner,,"Explore the architecture, features, and benefits of data warehouses, data marts, and data lakes and identify popular data warehouse system vendors. Design and populate a data warehouse, and model and querydata using CUBE, ROLLUP, and materialized views. . Identify popular data analytics and business intelligence tools and vendors and create data visualizations using IBM Cognos Analytics. . Design and load data into a data warehouse, write aggregation queries, create materialized query tables, and create an analytics dashboard.",Data Warehousing          Cube and Rollup          Business Intelligence (BI)          Star and Snowflake Schema          cognos analytics      ,Information Technology,IBM,Enroll for Free,,"Ramesh Sannareddy work for IBM,Rav Ahuja work for Coursera, IBM",English
Getting Started with Data Analytics on AWS,https://www.coursera.org/learn/getting-started-data-analytics-aws,4.6,"7,276",Rafael Lopes,4 hours,Beginner,,"Explain different types of data analyses – descriptive, diagnostic, predictive, prescriptive. Understand how to perform descriptive data analytics in the cloud with typical data sets. How to build simple visualizations in AWS QuickSight to do descriptive analytics (using S3, Cloudtrail, Athena)",aws          Data Analysis          Cloud      ,Data Science,Amazon Web Services,Enroll for Free,,Rafael Lopes work for Amazon Web Services,English
Genomic Data Science and Clustering (Bioinformatics V),https://www.coursera.org/learn/genomic-data,4.2,"12,919","Pavel  Pevzner,Phillip Compeau",10 hours,Beginner,,"How do we infer which genes orchestrate various processes in the cell?. How did humans migrate out of Africa and spread around the world? In this class, we will see that these two seemingly different questions can be addressed using similar algorithmic and machine learning techniques arising from the general problem of dividing data points into distinct clusters. In the first half of the course, we will introduce algorithms for clustering a group of objects into a collection of clusters based on their similarity, a classic problem in data science, and see how these algorithms can be applied to gene expression data.In the second half of the course, we will introduce another classic tool in data science called principal components analysis that can be used to preprocess multidimensional data before clustering in an effort to greatly reduce the number dimensions without losing much of the ""signal"" in the data.Finally, you will learn how to apply popular bioinformatics software tools to solve a real problem in clustering.",,Health,University of California San Diego,Enroll for Free,Bioinformatics Specialization,"Pavel  Pevzner work for University of California San Diego,Phillip Compeau work for University of California San Diego","Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
Exploring ​and ​Preparing ​your ​Data with BigQuery,https://www.coursera.org/learn/gcp-exploring-preparing-data-bigquery,4.7,"52,002",Google Cloud Training,13 hours,Beginner,,"Welcome to the Coursera specialization, From Data to Insights with Google Cloud Platform brought to you by the Google Cloud team. I’m Evan Jones (a data enthusiast) and I’m going to be your guide. This first course in this specialization is Exploring and Preparing your Data with BigQuery. Here we will see what the common challenges faced by data analysts are and how to solve them with the big data tools on Google Cloud Platform. You’ll pick up some SQL along the way and become very familiar with using BigQuery and Cloud Dataprep to analyze and transform your datasets.This course should take about one week to complete, 5-7 total hours of work. By the end of this course, you’ll be able to query and draw insight from millions of records in our BigQuery public datasets. You’ll learn how to assess the quality of your datasets and develop an automated data cleansing pipeline that will output to BigQuery. Lastly, you’ll get to practice writing and troubleshooting SQL on a real Google Analytics e-commerce dataset to drive marketing insights.&gt;&gt;&gt; By enrolling in this specialization you agree to the Qwiklabs Terms of Service as set out in the FAQ and located at: https://qwiklabs.com/terms_of_service &lt;&lt;&lt;",Bigquery          Google Cloud Platform          Cloud Computing          SQL      ,Information Technology,Google Cloud,Enroll for Free,From Data to Insights with Google Cloud Specialization,Google Cloud Training work for Google Cloud,"English, Japanese"
Google Cloud Big Data and Machine Learning Fundamentals,https://www.coursera.org/learn/gcp-big-data-ml-fundamentals,4.7,"228,702",Google Cloud Training,12 hours,Intermediate,,Identify the purpose and value of the key Big Data and Machine Learning products in Google Cloud. Use Cloud SQL and Dataproc to migrate existing MySQL and Hadoop/Pig/Spark/Hive workloads to Google Cloud. Employ BigQuery to carry out interactive data analysis. Choose between different data processing products on Google Cloud.,Tensorflow          Bigquery          Google Cloud Platform          Cloud Computing      ,Data Science,Google Cloud,Enroll for Free,,Google Cloud Training work for Google Cloud,English
Creating New BigQuery Datasets and Visualizing Insights,https://www.coursera.org/learn/gcp-creating-bigquery-datasets-visualizing-insights,4.6,"18,663",Google Cloud Training,11 hours,Beginner,,"This is the second course in the Data to Insights specialization. Here we will cover how to ingest new external datasets into BigQuery and. visualize them with Google Data Studio. We will also cover intermediate SQL concepts like multi-table JOINs and UNIONs which will allow you to analyze data across multiple data sources. Note: Even if you have a background in SQL, there are BigQuery specifics (like handling query cache and table wildcards) that may be new to you.&gt;&gt;&gt; By enrolling in this specialization you agree to the Qwiklabs Terms of Service as set out in the FAQ and located at: https://qwiklabs.com/terms_of_service &lt;&lt;&lt;",,Information Technology,Google Cloud,Enroll,From Data to Insights with Google Cloud Specialization,Google Cloud Training work for Google Cloud,"Subtitles: English, Japanese"
Fundamentals of Data Warehousing,https://www.coursera.org/learn/fundamentals-of-data-warehousing,,,Erik Herman,14 hours,Beginner,,"Welcome to Fundamentals of Data Warehousing, the third course of the Key Technologies of Data Analytics specialization. By enrolling in this course, you are taking the next step in your career in data analytics. This course is the third of a series that aims to prepare you for a role working in data analytics. In this course, you will be introduced to many of the core concepts of data warehousing. You will learn about the primary components of data warehousing. We’ll go through the common data warehousing architectures. The hands-on material offers to add storage to your cloud environment and configure a database. This course covers a wide variety of topics that are critical for understanding data warehousing and are designed to give you an introduction and overview as you begin to build relevant knowledge and skills.",,Business,LearnQuest,Enroll for Free,Key Technologies in Data Analytics Specialization,Erik Herman work for LearnQuest,Subtitles: English
Fundamentals of Data Visualization,https://www.coursera.org/learn/fundamentals-of-data-visualization,,,Danielle Szafir,14 hours,Intermediate,"Python, foundation in Data Science",Develop a toolkit for exploring and communicating complex data using visualization. Produce basic data visualizations using a chosen dataset. Compare methods for visualizing data and understand how these methods may guide users towards different conclusions. Evaluate how effectively a visualization conveys target data,Evaluation Design          Visualizing data with Altair          User-Centered Design (Create basic visualizations that match data and user needs)          Task Analysis (Define elements of a data analysis and/or communication problem)      ,Data Science,University of Colorado Boulder,Enroll for Free,Vital Skills for Data Science Specialization,Danielle Szafir work for University of Colorado Boulder,English
Fundamentals of Data Analysis,https://www.coursera.org/learn/fundamentals-of-data-analysis,,,Erik Herman,18 hours,Beginner,Basic computer knowledge,Explain the primary types of data analysis. Define the phases of the data analysis process. Identify tools and skills required to conduct data analysis,Data visualization Data exploration          Data queries          Data Collection          Data Analysis          Data Visualization (DataViz)      ,Data Science,LearnQuest,Enroll for Free,Key Technologies in Data Analytics Specialization,Erik Herman work for LearnQuest,English
Foundations for Big Data Analysis with SQL,https://www.coursera.org/learn/foundations-big-data-analysis-sql,4.8,"38,812",Glynn Durham,12 hours,Beginner,,"Distinguish operational from analytic databases, and understand how these are applied in big data. Understand how database and table design provides structures for working with data. Appreciate how differences in volume and variety of data affects your choice of an appropriate database system. Recognize the features and benefits of SQL dialects designed to work with big data systems for storage and analysis",Database (DBMS)          Data Warehousing          Data Analysis          Big Data          SQL      ,Data Science,Cloudera,Enroll for Free,Modern Big Data Analysis with SQL Specialization,Glynn Durham work for Cloudera,"Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
"Foundations: Data, Data, Everywhere",https://www.coursera.org/learn/foundations-data,4.8,"512,051",Google Career Certificates,20 hours,Beginner,No prior experience with spreadsheets or data analytics required. All you need is high school level math and curiosity about how things work. ,"Define and explain key concepts involved in data analytics including data, data analysis, and data ecosystem. Conduct an analytical thinking self assessment giving specific examples of the application of analytical thinking. Discuss the role of spreadsheets, query languages, and data visualization tools in data analytics. Describe the role of a data analyst with specific reference to jobs/positions",Spreadsheet          Data Cleansing          Data Analysis          Data Visualization (DataViz)          SQL      ,Data Science,Google,Enroll for Free,Google Data Analytics Professional Certificate,Google Career Certificates work for Google,English
